u,u_name,v,v_name,score_diff,score,score_counter
92,ts-inside-payment-service-AddMoneyRepository.findByUserId,104,ts-inside-payment-service-InsidePaymentController.drawBack,0.5040636707245363,3.107743710307333,2.603680039582797
36,ts-cancel-service-HTTP PUT /api/v1/orderOtherService/orderOther,30,ts-cancel-service-CancelController.cancelTicket,0.03588963729422634,3.0915353578933775,3.055645720599151
35,ts-cancel-service-HTTP GET /api/v1/userservice/users/id/{userId},30,ts-cancel-service-CancelController.cancelTicket,-0.009165843938374163,3.0915353578933775,3.1007012018317517
34,ts-cancel-service-HTTP GET /api/v1/orderservice/order/{orderId},30,ts-cancel-service-CancelController.cancelTicket,0.011256478298142802,3.0915353578933775,3.0802788795952347
37,ts-cancel-service-HTTP PUT /api/v1/orderservice/order,30,ts-cancel-service-CancelController.cancelTicket,0.026048946324578548,3.0915353578933775,3.065486411568799
33,ts-cancel-service-HTTP GET /api/v1/orderOtherService/orderOther/{orderId},30,ts-cancel-service-CancelController.cancelTicket,0.02529160694633159,3.0915353578933775,3.066243750947046
250,ts-train-service-HTTP GET /api/v1/trainservice/trains/byName/{name},23,ts-basic-service-HTTP GET /api/v1/trainservice/trains/byName/{name},2.938252824256415,2.938252824256415,0.0
2,ts-basic-service-5dc8d4f9fd-58xkn,23,ts-basic-service-HTTP GET /api/v1/trainservice/trains/byName/{name},-0.05719644426807591,2.938252824256415,2.995449268524491
100,ts-inside-payment-service-HTTP POST /api/v1/inside_pay_service/inside_payment,86,ts-gateway-service-HTTP POST /api/v1/inside_pay_service/inside_payment,2.7247881885928824,2.7247881885928824,0.0
109,ts-inside-payment-service-SELECT Payment,106,ts-inside-payment-service-PaymentRepository.findByUserId,2.544163767577804,2.544163767577804,0.0
