0,1,2,3,4,5,6,7
0.20513928,0.1391891,0.1398099,0.14132841,0.14360264,0.14561181,0.1465242,0.14740147
0.20524667,0.13138512,0.12832367,0.12984486,0.1318427,0.13398753,0.13500078,0.1359771
0.20513928,0.08492896,0.08591624,0.09022766,0.09469001,0.098937094,0.10093309,0.10286315
0.20513928,0.1732379,0.17252561,0.1745701,0.1780144,0.1808425,0.18200104,0.1830667
0.20513928,0.071995094,0.069520384,0.069590665,0.07029683,0.07114885,0.07154022,0.07191522
0.20524667,0.13257863,0.13452162,0.14019494,0.14589837,0.15151097,0.15416215,0.15672012
0.2199618,0.08365722,0.095785946,0.099543765,0.0986721,0.10268156,0.10398003,0.1035192
0.20513928,0.099229164,0.10037081,0.105126284,0.11020011,0.11534447,0.11771998,0.11998364
0.20513928,0.094002485,0.0917741,0.09199453,0.091278985,0.0832534,0.08127381,0.07991552
0.23291197,0.34451437,0.35269544,0.36741388,0.38018575,0.3923019,0.39806482,0.4035429
0.36385518,0.09806315,0.10083786,0.10791662,0.09966092,0.096412115,0.09583992,0.09555779
0.36852533,0.65764713,0.62916106,0.6348753,0.63955456,0.63543284,0.6187816,0.60519093
0.38477024,0.117261834,0.21667558,0.19636069,0.17233032,0.1487256,0.14612003,0.14769338
0.38477024,0.092675686,0.08647896,0.0946944,0.11328571,0.11597172,0.12099283,0.1260303
0.36398172,0.1739184,0.17635825,0.18458721,0.17444502,0.18160588,0.18321568,0.18442962
0.36854038,0.74684954,0.7231848,0.72659516,0.7310931,0.72822195,0.7145247,0.70330656
0.38477024,0.098795004,0.13027903,0.11714633,0.10593883,0.13307127,0.14567722,0.14730738
0.48186153,0.5443523,0.5280477,0.52881163,0.53242236,0.54436255,0.52295953,0.5104662
0.7155314,0.4992826,0.577761,0.616118,0.6569461,0.57178086,0.5906077,0.6009092
0.5930728,0.19032645,0.12798294,0.15438913,0.1845755,0.22819328,0.30245927,0.30971318
0.48347566,0.16588435,0.14196192,0.14579995,0.1581839,0.16621321,0.16245759,0.15934645
0.4837568,0.08145102,0.06679334,0.07275815,0.08203296,0.10458457,0.12249748,0.1374162
0.50655997,0.10317248,0.10859325,0.1102419,0.11331306,0.1419688,0.16383821,0.19302645
0.482792,0.088191934,0.07517967,0.08714945,0.10003697,0.11581998,0.12765884,0.1356686
0.48186153,0.43906415,0.42240378,0.4246959,0.43032143,0.4460865,0.42744815,0.41733646
0.7155314,0.46641237,0.47334233,0.45954317,0.5070547,0.54316515,0.5661854,0.58121353
0.6936577,0.40974784,0.14854313,0.23908128,0.3905821,0.471724,0.53020436,0.54345596
0.6983163,0.22263388,0.08603878,0.14528364,0.23837961,0.33317786,0.38610724,0.4313443
0.7078072,0.095742375,0.105630115,0.09896681,0.08904506,0.12943332,0.18273988,0.17256868
0.70218545,0.08191495,0.09865341,0.10090859,0.105238035,0.07737252,0.091428965,0.09722294
0.20406657,0.30142114,0.3023704,0.319336,0.33451548,0.3455695,0.3470255,0.3482714
0.20406657,0.30211678,0.30322456,0.32009444,0.3352262,0.34632853,0.34772974,0.34892583
0.20406657,0.18502314,0.1866757,0.1984415,0.20984946,0.22004098,0.22472362,0.2283817
0.17862631,0.08990212,0.08846567,0.092043325,0.09489297,0.09734115,0.09846436,0.0979459
0.20233557,0.20620835,0.19970626,0.21483368,0.22759032,0.23447128,0.23630992,0.2378843
0.20406638,0.16073589,0.16421337,0.16842227,0.17247704,0.1763013,0.17813754,0.17992812
0.17862631,0.080570124,0.077690095,0.07878854,0.07975508,0.08057884,0.080959156,0.08132451
0.20849437,0.39321527,0.39458135,0.40872943,0.42004725,0.42928937,0.43338016,0.43720153
0.70301986,0.16891456,0.33972225,0.34441558,0.352382,0.35097376,0.21980053,0.236243
0.70302683,0.17338488,0.32348126,0.33656588,0.3881732,0.37556615,0.23109484,0.24731642
0.70301986,0.1551702,0.36895508,0.35665962,0.35475197,0.3450396,0.1670321,0.24874863
0.70302683,0.16556884,0.3243278,0.344814,0.3906707,0.36639762,0.22843485,0.24834351
0.70302683,0.0968997,0.18039548,0.16598168,0.19680698,0.23702134,0.15089902,0.18732019
0.40778655,0.08366792,0.0801132,0.0849425,0.09216555,0.101045735,0.10184089,0.09991616
0.40778655,0.05923491,0.060522705,0.06299936,0.06932868,0.077377066,0.08123142,0.08487437
0.40778655,0.0980006,0.094312884,0.099229656,0.10579634,0.11352891,0.116480686,0.115515925
0.4077523,0.05605449,0.055900738,0.059353795,0.06364399,0.05845748,0.056998435,0.056527466
0.40778655,0.07768248,0.07577471,0.07773218,0.08121413,0.08986828,0.093789145,0.09550652
0.40778655,0.07663546,0.07672441,0.08044996,0.08493262,0.090469636,0.09327052,0.095884286
