0,1,2,3,4,5,6,7,8
0.57901525,0.43438646,0.32870483,0.32857513,0.0,0.0,0.91673493,0.9380825,0.0
0.7200285,0.59206873,0.7047119,0.7046814,0.0,0.0,0.8351754,0.94074905,0.27295393
0.7164854,0.58693206,0.4934616,0.49312592,0.0,0.0,0.8943746,0.85944295,0.50447893
0.5920863,0.50027335,0.50834656,0.5079956,0.0,0.0,0.7559315,0.8359444,0.0
0.68202114,0.59779096,0.41670227,0.4165039,0.0,0.0,0.7574079,0.88070345,0.5620502
0.6587596,0.5201841,0.59402466,0.59391785,0.0,0.0,0.71461606,0.8885949,0.24502122
0.50173795,0.42371243,0.17645264,0.1763916,0.0,0.0,0.6902282,0.87151754,0.0
0.6066382,0.45910427,0.50756836,0.5072975,0.0,0.0,0.74746466,0.79123473,0.2730188
0.6563156,0.56038874,0.5021515,0.50190735,0.0,0.0,0.73104334,0.89683753,0.19180954
0.64392626,0.61980045,0.98620224,0.9860811,0.0,0.0,0.6643338,0.700747,0.5695077
0.68877757,0.5982643,0.59677124,0.5967102,0.0,0.0,0.8103944,0.7646396,0.22433989
0.55842984,0.45382765,0.53323364,0.53315735,0.0,0.0,0.63537306,0.8577608,0.48161066
0.75993264,0.6548133,0.84716797,0.8469658,0.0,0.0,0.88188386,0.934847,0.57922155
0.6353902,0.5166014,0.5843506,0.58428955,0.0,0.0,0.9041449,0.93439746,0.35380954
0.7548797,0.63778216,0.3074112,0.306818,0.0,0.0,0.66269326,0.64162207,0.0
0.73920417,0.6169492,0.45887756,0.45838547,0.0,0.0,0.9116108,0.94656295,0.2730188
0.6346139,0.54531455,0.28077698,0.2805786,0.0,0.0,0.5150871,0.8728099,0.50447893
0.7512194,0.6338927,0.39826965,0.39810944,0.0,0.0,0.9024815,0.94703126,0.5056326
0.66802233,0.56556463,0.40694046,0.40635872,0.0,0.0,0.65862596,0.90055656,0.577833
0.0,0.0,0.0,0.0,0.0,0.0,0.6273695,0.8983981,0.22433989
0.43169448,0.34560406,0.56274414,0.56274414,0.0,0.0,0.40641832,0.7094989,0.0
0.61810267,0.5233711,0.3531494,0.3531189,0.0,0.0,0.8920734,0.7896433,0.47468355
0.6692782,0.5606828,0.42871094,0.4286499,0.0,0.0,0.7205343,0.8705749,0.35398206
0.5353632,0.4372063,0.39878845,0.39865112,0.0,0.0,0.756992,0.8855461,0.50447893
0.663714,0.59636694,0.4945221,0.4941635,0.0,0.0,0.7365409,0.8981064,0.46091503
0.6692059,0.52701616,0.4987564,0.49850464,0.0,0.0,0.7285123,0.88835967,0.38791528
0.48415214,0.4028599,0.5496826,0.5495758,0.0,0.0,0.49495542,0.8889828,0.22433989
0.5711323,0.48593804,0.6499939,0.6499176,0.0,0.0,0.72429395,0.88556015,0.29281762
