0,1,2,3,4,5,6,7,8
0.58539,0.4469168,0.5625305,0.5624695,0.0,0.0,0.914663,0.9420013,0.0
0.67035246,0.5280563,0.88292694,0.8828087,0.0,0.0,0.9148477,0.9411162,0.35398206
0.71912116,0.5947077,0.7912445,0.7910347,0.0,0.0,0.8909705,0.9455957,0.5054764
0.5421212,0.44922292,0.50975037,0.5095749,0.0,0.0,0.4863329,0.84096634,0.0
0.6096575,0.5176239,0.9072304,0.90696335,0.0,0.0,0.73473847,0.87501955,0.50739187
0.46755514,0.36418188,0.6317558,0.63097,0.0,0.0,0.6777916,0.8784528,0.29281762
0.4552599,0.36418635,0.40851593,0.4082489,0.0,0.0,0.6698179,0.836588,0.0
0.4305757,0.32824582,0.8965683,0.89634514,0.0,0.0,0.715724,0.85436976,0.2730188
0.52815866,0.4330707,0.6626892,0.6625519,0.0,0.0,0.7390089,0.89204156,0.22428799
0.65783024,0.6385151,0.9147835,0.91469955,0.0,0.0,0.820609,0.8558419,0.5467484
0.67942566,0.5406856,0.503273,0.50294113,0.0,0.0,0.8550552,0.77296734,0.2730188
0.7525399,0.6408456,0.5954056,0.5950928,0.0,0.0,0.89769614,0.9121673,0.44628367
0.7130034,0.65283036,0.75377655,0.75362396,0.0,0.0,0.917739,0.92547774,0.53007936
0.36318028,0.26856017,0.5162811,0.516098,0.0,0.0,0.6843338,0.8658731,0.0
0.5993187,0.51625407,0.84365845,0.843544,0.0,0.0,0.5461601,0.58547163,0.0
0.62879455,0.54650056,0.8034668,0.8033676,0.0,0.0,0.7493341,0.891106,0.0
0.5638784,0.4753815,0.79377747,0.79323006,0.0,0.0,0.5667968,0.85115755,0.4440789
0.72485,0.598833,0.9050255,0.9047642,0.0,0.0,0.8968552,0.9440371,0.46802816
0.7056864,0.5731911,0.6052456,0.6039419,0.0,0.0,0.8295183,0.9432335,0.51921093
0.0,0.0,0.0,0.0,0.0,0.0,0.8208982,0.9365907,0.27295393
0.49634206,0.3533139,0.36904144,0.36826706,0.0,0.0,0.8776402,0.7964046,0.0
0.51508015,0.4177633,0.4286003,0.42772675,0.0,0.0,0.68599725,0.79240346,0.43579862
0.38279077,0.2900275,0.72426605,0.72395325,0.0,0.0,0.67145157,0.8699473,0.0
0.4535098,0.35071492,0.69753647,0.6968174,0.0,0.0,0.73305106,0.87861776,0.4441543
0.6261039,0.53152716,0.76504517,0.7649002,0.0,0.0,0.6938611,0.8951956,0.42976156
0.59591705,0.5113696,0.7529602,0.75281525,0.0,0.0,0.91462827,0.94418675,0.42653915
0.46822235,0.37244174,0.34453964,0.34386253,0.0,0.0,0.72296786,0.87144804,0.2730188
0.6310068,0.48848227,0.8855362,0.88499355,0.0,0.0,0.8540147,0.94251776,0.37198657
